Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
426;SEE;Sealed Air Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US81211K1007;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
427;SGENperp;Societe Generale  S.A.;Облигации;Облигации иностранного эмитента  иностранного эмитента;;USF43628B413;DBFUQR;;0,01;PCT;06.12.2017 0:00:00
428;SHW;The Sherwin-Williams Company;Акции;Акции иностранного эмитента  обыкновенные;;US8243481061;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
429;SIG;Signet Jewelers Limited;Акции;Акции иностранного эмитента  обыкновенные;;BMG812761002;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
430;SJM;The J.M. Smucker Company;Акции;Акции иностранного эмитента  обыкновенные;;US8326964058;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
431;SKM;Citibank, N.A.;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций SK Telecom Co., Ltd.;US78440P1084;ESVUFA;1,00;0,01;USD;26.08.2016 0:00:00
432;SLB;Schlumberger Limited;Акции;Акции иностранного эмитента  обыкновенные;;AN8068571086;ESXUFX;1,00;0,01;USD;26.10.2016 0:00:00
433;SLG;SL Green Realty Corp.;Акции;Акции иностранного эмитента  обыкновенные;;US78440X1019;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
434;SNA;Snap-on Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US8330341012;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00
435;SNI;Scripps Networks Interactive, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US8110651010;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
436;SNPS;Synopsys, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8716071076;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
437;SO;The Southern Company;Акции;Акции иностранного эмитента  обыкновенные;;US8425871071;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
438;SOHU;Sohu.com Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US83408W1036;ESVUFR;1,00;0,01;USD;26.08.2016 0:00:00
439;SPG;Simon Property Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US8288061091;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
440;SPGI;S&P Global Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US78409V1044;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
441;SQ;Square, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US8522341036;ESVUFR;1,00;0,01;USD;11.12.2017 0:00:00
