Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
14;ADM;Archer-Daniels-Midland Company;Акции;Акции иностранного эмитента  обыкновенные;;US0394831020;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
15;ADP;Automatic Data Processing, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0530151036;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
16;ADS;Alliance Data Systems Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0185811082;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
17;ADSK;Autodesk, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0527691069;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
18;AEE;Ameren Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0236081024;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
19;AES;The AES Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US00130H1059;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
20;AET;Aetna Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US00817Y1082;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
21;AFL;Aflac Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US0010551028;ESEUFR;1,00;0,01;USD;23.11.2016 0:00:00
22;AGN;Allergan plc;Акции;Акции иностранного эмитента  обыкновенные;;IE00BY9D5467;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
23;AIG;American International Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0268747849;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
24;AIV;Apartment Investment & Management Company;Акции;Акции иностранного эмитента  обыкновенные класса A;;US03748R1014;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
25;AIZ;Assurant, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US04621X1081;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
26;AJG;Arthur J. Gallagher & Co.;Акции;Акции иностранного эмитента  обыкновенные;;US3635761097;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
27;AKAM;Akamai Technologies, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US00971T1016;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
28;AKZM;“Aktobe Metalware Plant” JSC;Акции;Акции иностранного эмитента  обыкновенные;;KZ1C00001288;ESVUPR;1,00;0,10;RUB;26.09.2016 0:00:00
29;ALB;Albemarle Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0126531013;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
30;ALGN;Align Technology, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0162551016;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
31;ALK;Alaska Air Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0116591092;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
32;ALL;The Allstate Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0200021014;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
33;ALLE;Allegion Public Limited Company;Акции;Акции иностранного эмитента  обыкновенные;;IE00BFRT3W74;EFNRAR;1,00;0,01;USD;01.06.2017 0:00:00
34;ALXN;Alexion Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0153511094;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
35;AMAT;Applied Materials, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0382221051;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
36;AMD;Advanced Micro Devices, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0079031078;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
37;AME;AMETEK, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0311001004;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
38;AMG;Affiliated Managers Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0082521081;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
39;AMGN;Amgen Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0311621009;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
40;AMP;Ameriprise Financial, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US03076C1062;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
41;AMT;American Tower Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US03027X1000;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
42;AMZN;Amazon.com, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0231351067;ESVUFR;1,00;0,01;USD;06.10.2015 0:00:00
43;AN;AutoNation, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US05329W1027;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
44;ANDV;Andeavor;Акции;Акции иностранного эмитента  обыкновенные;;US03349M1053;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
45;ANSS;ANSYS, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US03662Q1058;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
46;ANTM;Anthem, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0367521038;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
47;AON;Aon plc;Акции;Акции иностранного эмитента  обыкновенные класса A;;GB00B5BT0K07;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
48;APA;Apache Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0374111054;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
49;APC;Anadarko Petroleum Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0325111070;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
50;APD;Air Products & Chemicals, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0091581068;ESVUFN;1,00;0,01;USD;23.11.2016 0:00:00
51;APH;Amphenol Corporation;Акции;Акции иностранного эмитента  обыкновенные класса A;;US0320951017;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
52;APTV;Aptiv PLC ;Акции;Акции иностранного эмитента  обыкновенные;;JE00B783TY65;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
53;ARE;Alexandria Real Estate Equities, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0152711091;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
54;ARNC;Arconic Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US03965L1008;ESVUFR;1,00;0,01;USD;02.01.2018 0:00:00
55;ATVI;Activision Blizzard, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US00507V1098;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
56;AVB;AvalonBay Communities, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0534841012;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
57;AVGO;Broadcom Limited;Акции;Акции иностранного эмитента  обыкновенные;;SG9999014823;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
58;AVP;Avon Products, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0543031027;ESXXXX;1,00;0,01;USD;23.11.2016 0:00:00
59;AVY;Avery Dennison Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0536111091;ESXXXX;1,00;0,01;USD;23.11.2016 0:00:00
60;AXP;American Express Company;Акции;Акции иностранного эмитента  обыкновенные;;US0258161092;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
61;AYI;Acuity Brands, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US00508Y1029;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
62;AZO;AutoZone, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0533321024;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
63;BA;THE BOEING COMPANY;Акции;Акции иностранного эмитента  обыкновенные;;US0970231058;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
64;BABA;Citibank, N.A.;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций Alibaba Group Holding Limited;US01609W1027;ESVUFA;1,00;0,01;USD;15.12.2014 0:00:00
65;BAC;Bank of America Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0605051046;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
66;BAST;JSC “BAST”;Акции;Акции иностранного эмитента  обыкновенные;;KZ1C00001015;ESVUFR;1,00;0,10;RUB;26.09.2016 0:00:00
67;BAX;Baxter International Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0718131099;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
68;BBBY;Bed Bath & Beyond Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0758961009;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
69;BBT;BB&T Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0549371070;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
70;BBY;Best Buy Co., Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0865161014;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
71;BCR;C.R. Bard, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0673831097;ESXXXR;1,00;0,01;USD;23.11.2016 0:00:00
72;BDX;Becton, Dickinson and Company;Акции;Акции иностранного эмитента  обыкновенные;;US0758871091;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
73;BEN;Franklin Resources, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US3546131018;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
74;BF.B;Brown-Forman Corporation;Акции;Акции иностранного эмитента  обыкновенные класса B;;US1156372096;ESNUFR;1,00;0,01;USD;23.11.2016 0:00:00
75;BHF;Brighthouse Financial, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US10922N1037;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
76;BHGE;Baker Hughes, a GE company;Акции;Акции иностранного эмитента  обыкновенные класса A;;US05722G1004;ESVUFR;1,00;0,01;USD;17.07.2017 0:00:00
77;BIDU;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций Baidu, Inc.;US0567521085;ESVUFA;1,00;0,01;USD;11.08.2015 0:00:00
78;BIIB;Biogen Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US09062X1037;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
79;BK;The Bank of New York Mellon Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0640581007;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
80;BLK;BlackRock, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US09247X1019;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
81;BLL;Ball Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0584981064;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
82;BMY;Bristol-Myers Squibb Company;Акции;Акции иностранного эмитента  обыкновенные;;US1101221083;ESXXXX;1,00;0,01;USD;06.10.2016 0:00:00
83;BRK.B;Berkshire Hathaway Inc.;Акции;Акции иностранного эмитента  обыкновенные класса B;;US0846707026;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
84;BSX;Boston Scientific Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1011371077;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
85;BTI;Citibank, N.A.;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций British American Tobacco p.l.c.;US1104481072;ESVUFA;1,00;0,01;USD;23.10.2017 0:00:00
86;BWA;BorgWarner Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0997241064;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
87;BXP;Boston Properties, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1011211018;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
88;C;Citigroup Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1729674242;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
89;CA;CA, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US12673P1057;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
90;CAG;Conagra Brands, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2058871029;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
91;CAH;Cardinal Health, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US14149Y1082;ESXXXX;1,00;0,01;USD;23.11.2016 0:00:00
92;CAT;Caterpillar Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1491231015;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
93;CB;Chubb Limited;Акции;Акции иностранного эмитента  обыкновенные;;CH0044328745;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
94;CBG;CBRE Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US12504L1098;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
95;CBOE;Cboe Global Markets, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US12503M1080;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
96;CBPO;China Biologic Products Holdings, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;KYG215151047;ESVUFR;1,00;0,01;USD;23.10.2017 0:00:00
97;CBS;CBS Corporation;Акции;Акции иностранного эмитента  обыкновенные класса B;;US1248572026;ESNUFR;1,00;0,01;USD;28.11.2014 0:00:00
98;CCI;Crown Castle International Corp.;Акции;Акции иностранного эмитента  обыкновенные;;US22822V1017;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
99;CCL;Carnival Corporation;Акции;Акции иностранного эмитента  обыкновенные;;PA1436583006;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
100;CELG;Celgene Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1510201049;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
101;CERN;Cerner Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1567821046;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
102;CF;CF Industries Holdings, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1252691001;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
103;CFG;Citizens Financial Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1746101054;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
104;CHD;Church & Dwight Co., Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1713401024;ESVTFR;1,00;0,01;USD;26.04.2017 0:00:00
105;CHK;Chesapeake Energy Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1651671075;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
106;CHL;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций China Mobile Limited;US16941M1099;ESVUFA;1,00;0,01;USD;26.08.2016 0:00:00
107;CHRW;C.H. Robinson Worldwide, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US12541W2098;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
108;CHTR;Charter Communications, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US16119P1084;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
109;CI;Cigna Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1255091092;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
110;CINF;Cincinnati Financial Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1720621010;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
111;CL;Colgate-Palmolive Company;Акции;Акции иностранного эмитента  обыкновенные;;US1941621039;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
112;CLF;Cleveland-Cliffs Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1858991011;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00
113;CLX;The Clorox Company;Акции;Акции иностранного эмитента  обыкновенные;;US1890541097;ESXXXX;1,00;0,01;USD;26.04.2017 0:00:00
114;CMA;Comerica Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US2003401070;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
115;CMCSA;Comcast Corporation;Акции;Акции иностранного эмитента  обыкновенные класса A;;US20030N1019;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
116;CME;CME Group Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US12572Q1058;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
117;CMG;Chipotle Mexican Grill, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1696561059;ESVUOR;1,00;0,01;USD;26.04.2017 0:00:00
118;CMI;Cummins Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2310211063;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
119;CMS;CMS Energy Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1258961002;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
120;CNC;Centene Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US15135B1017;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
121;CNP;CenterPoint Energy, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US15189T1079;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
122;COF;Capital One Financial Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US14040H1059;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
123;COG;Cabot Oil & Gas Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1270971039;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
124;COL;Rockwell Collins, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US7743411016;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
125;COO;The Cooper Companies, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2166484020;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
126;COP;ConocoPhillips;Акции;Акции иностранного эмитента  обыкновенные;;US20825C1045;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
127;COST;Costco Wholesale Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US22160K1051;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
128;CPB;Campbell Soup Company;Акции;Акции иностранного эмитента  обыкновенные;;US1344291091;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
129;CRM;salesforce.com, inc.;Акции;Акции иностранного эмитента  обыкновенные;;US79466L3024;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
130;CSCO;Cisco Systems, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US17275R1023;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
131;CSRA;CSRA Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US12650T1043;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00
132;CTAS;Cintas Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1729081059;ESVTFX;1,00;0,01;USD;06.10.2016 0:00:00
133;CTL;CenturyLink, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1567001060;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
134;CTSH;Cognizant Technology Solutions Corporation;Акции;Акции иностранного эмитента  обыкновенные класса A;;US1924461023;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
135;CTXS;Citrix Systems, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US1773761002;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
136;CVS;CVS Health Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1266501006;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
137;CVX;Chevron Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US1667641005;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
138;CXO;Concho Resources Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US20605P1012;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
139;DAL;Delta Air Lines Inc;Акции;Акции иностранного эмитента  обыкновенные;;US2473617023;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
140;DE;Deere & Company;Акции;Акции иностранного эмитента  обыкновенные;;US2441991054;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
141;DFS;Discover Financial Services;Акции;Акции иностранного эмитента  обыкновенные;;US2547091080;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
142;DG;Dollar General Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US2566771059;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
143;DGX;Quest Diagnostics Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US74834L1008;ESXXXX;1,00;0,01;USD;26.04.2017 0:00:00
144;DHI;D.R. Horton, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US23331A1097;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
145;DHR;Danaher Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US2358511028;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
146;DIS;The Walt Disney Company;Акции;Акции иностранного эмитента  обыкновенные;;US2546871060;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
147;DISCA;Discovery Communications, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US25470F1049;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
148;DISCK;Discovery Communications, Inc.;Акции;Акции иностранного эмитента  обыкновенные класса C;;US25470F3029;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
149;DLPH;Delphi Technologies PLC;Акции;Акции иностранного эмитента  обыкновенные;;JE00BD85SC56;ESVUFR;1,00;0,01;USD;15.12.2017 0:00:00
150;DLR;Digital Realty Trust, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2538681030;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
151;DLTR;Dollar Tree, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2567461080;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
152;DNB;The Dun & Bradstreet Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US26483E1001;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
153;DOV;Dover Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US2600031080;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
154;DPS;Dr Pepper Snapple Group, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US26138E1091;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
155;DRI;Darden Restaurants, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2371941053;ESVTFR;1,00;0,01;USD;26.04.2017 0:00:00
156;DVA;DaVita Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US23918K1088;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
157;DVN;Devon Energy Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US25179M1036;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
158;DWDP;DowDuPont Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US26078J1007;ESVUFR;1,00;0,01;USD;29.09.2017 0:00:00
159;DXC;DXC Technology Company;Акции;Акции иностранного эмитента  обыкновенные;;US23355L1061;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
160;EA;Electronic Arts Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2855121099;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
161;EBAY;eBay Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2786421030;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
162;ECL;Ecolab Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2788651006;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
163;ED;Consolidated Edison, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2091151041;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
164;EFX;Equifax Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2944291051;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
165;EIX;Edison International;Акции;Акции иностранного эмитента  обыкновенные;;US2810201077;ESVUFX;1,00;0,01;USD;26.04.2017 0:00:00
166;EL;The Estee Lauder Companies Inc.;Акции;Акции иностранного эмитента  обыкновенные класса A;;US5184391044;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
167;EMN;Eastman Chemical Company;Акции;Акции иностранного эмитента  обыкновенные;;US2774321002;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
168;EMR;Emerson Electric Co.;Акции;Акции иностранного эмитента  обыкновенные;;US2910111044;ESVUFX;1,00;0,01;USD;06.10.2016 0:00:00
169;ENDP;Endo International PLC;Акции;Акции иностранного эмитента  обыкновенные;;IE00BJ3V9050;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
170;EOG;EOG Resources, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US26875P1012;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
171;EQIX;Equinix, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US29444U7000;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
172;EQT;EQT Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US26884L1098;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
173;ES;Eversource Energy;Акции;Акции иностранного эмитента  обыкновенные;;US30040W1080;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
174;ESS;Essex Property Trust, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US2971781057;ESXXXX;1,00;0,01;USD;26.04.2017 0:00:00
175;ETFC;E*TRADE Financial Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US2692464017;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
176;ETN;Eaton Corporation plc;Акции;Акции иностранного эмитента  обыкновенные;;IE00B8KQN827;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
177;ETP;Energy Transfer Partners, L.P.;Акции;Акции иностранного эмитента  обыкновенные;;US29278N1037;ESNUFR;1,00;0,01;USD;11.12.2017 0:00:00
178;EVHC;Envision Healthcare Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US29414D1000;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
179;EW;Edwards Lifesciences Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US28176E1082;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
180;EXC;Exelon Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US30161N1019;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
181;EXPD;Expeditors International of Washington, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US3021301094;ESXXXX;1,00;0,01;USD;06.10.2016 0:00:00
182;EXPE;Expedia, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US30212P3038;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
183;EXR;Extra Space Storage Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US30225T1025;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00
184;F;Ford Motor Company;Акции;Акции иностранного эмитента  обыкновенные класса A;;US3453708600;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
